num,start_time,end_time
1,14400,19600
2,287300,289100
3,357800,359700
4,361600,364500
5,375100,377500
6,551300,554400
7,555500,560400
8,643800,645900
9,816000,818500
10,850800,855300
11,855700,859500
12,927700,930200
13,960700,964600
14,973100,975500
15,1099600,1101400
16,1106000,1108100
17,1130500,1133500
18,1158300,1160400
19,1171200,1173400
20,1275000,1277400
21,1340500,1342500
22,1478900,1481300
23,1565600,1567400
24,1656500,1658500
25,1863400,1865500
26,1890600,1892600
27,1927900,1930300
28,1973400,1978000
29,1987200,1990000
30,2028800,2030600
31,2046400,2050600
32,2088500,2090300
33,2121700,2125800
34,2128200,2130000
35,2131900,2141800
36,2172400,2175400
37,2283800,2288700
38,2294000,2297500
39,2299200,2301200
40,2438700,2441100
41,2459200,2462500
42,2544300,2546200
43,2705400,2709700
44,2851000,2854300
45,2923900,2929100
46,3045800,3048000
47,3470700,3472500
48,3564700,3568100
49,3789600,3797400
50,3806100,3809800
